name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mexico City,Mexico",2022-08-29,26.1,12.1,18.3,26.1,12.1,18.3,13,73.2,0.1,100,4.17,rain,0,0,14.8,18.4,79.6,1017.2,84.5,9.6,250.3,21.4,10,10,2022-08-29T07:20:40,2022-08-29T19:53:56,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-08-30,24,11,18.2,24,11,18.2,11.9,68.7,4.511,100,20.83,rain,0,0,25.9,29.4,41.5,1019.7,82.1,12.8,261.1,22.6,10,10,2022-08-30T07:20:53,2022-08-30T19:53:06,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-08-31,26.1,11,18.3,26.1,11,18.3,12.4,71.5,0.4,100,4.17,rain,0,0,22,24.1,30.6,1018.2,85.2,12.5,251.1,21.7,10,10,2022-08-31T07:21:06,2022-08-31T19:52:16,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-09-01,27,12,19.1,28.1,12,19.2,11.8,65.2,0.237,100,4.17,rain,0,0,28.8,27.7,2.2,1018,67.9,13.8,257,22.4,10,10,2022-09-01T07:21:18,2022-09-01T19:51:25,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-09-02,24.1,13.7,18.8,24.1,13.7,18.8,10.8,61.4,0.3,100,8.33,rain,0,0,32.4,29.5,11,1017.6,83,16,204,17.5,10,10,2022-09-02T07:21:31,2022-09-02T19:50:34,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Mexico City,Mexico",2022-09-03,22.5,12,18,22.5,12,18,11.2,65.5,0.2,100,8.33,rain,0,0,32.4,27.5,17.6,1018.6,85.5,14.6,156.4,13.5,7,10,2022-09-03T07:21:43,2022-09-03T19:49:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999"
"Mexico City,Mexico",2022-09-04,25.1,13.4,18.1,25.1,13.4,18.1,11.3,65.8,4.8,100,8.33,rain,0,0,32.4,25.9,350.3,1018.5,85.7,15.6,122.1,10.7,8,10,2022-09-04T07:21:55,2022-09-04T19:48:51,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-09-05,25,15,18.5,25,15,18.5,12.9,71.4,2,100,4.17,rain,0,0,36,25.9,129.6,1019.8,92.1,15.2,201.1,17.4,8,10,2022-09-05T07:22:07,2022-09-05T19:47:59,0.33,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-09-06,23,13.4,17,23,13.4,17,12.1,74.1,6.806,100,20.83,rain,0,0,18.4,36.9,77.8,1022.7,92.4,12.2,210.5,18.4,10,10,2022-09-06T07:22:19,2022-09-06T19:47:07,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-09-07,24,14,17.4,24,14,17.4,13.1,77.6,11.867,100,29.17,rain,0,0,18.4,18.4,14.2,1022.7,92.5,11,226,19.7,9,10,2022-09-07T07:22:31,2022-09-07T19:46:14,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-09-08,24,13.3,17.8,24,13.3,17.8,13.2,75.5,0.5,100,12.5,rain,0,0,18,18.4,351.4,1017.5,92,12.8,218.6,19,9,10,2022-09-08T07:22:43,2022-09-08T19:45:21,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-09-09,24.1,12,18.2,24.1,12,18.2,9,59.4,0,0,0,rain,0,0,21.6,19.2,24.2,1015.3,70.3,15.5,307.8,26.7,10,10,2022-09-09T07:22:54,2022-09-09T19:44:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-09-10,27.1,12.2,19,28,12.2,19.1,9.9,58.1,0.1,100,4.17,rain,0,0,19.4,37.1,39.8,1018.1,60.1,14.1,281.9,24.3,10,10,2022-09-10T07:23:06,2022-09-10T19:43:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-09-11,26.1,12.9,18.3,26.1,12.9,18.3,9.6,59.2,0.002,100,4.17,rain,0,0,24.1,22,5.2,1019.5,63.5,15.9,265.3,23,10,10,2022-09-11T07:23:17,2022-09-11T19:42:41,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999"
"Mexico City,Mexico",2022-09-12,25,11.8,17.1,25,11.8,17.1,9.8,62.8,0,0,0,rain,0,0,19.1,22.3,349.1,1020.5,77.6,13.8,238,20.5,10,10,2022-09-12T07:23:29,2022-09-12T19:41:47,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-09-13,26,14.3,17.9,26,14.3,17.9,10.8,64.9,0.2,100,8.33,rain,0,0,19.1,32.4,8.6,1018.5,79.7,11.8,268.3,23.1,10,10,2022-09-13T07:23:40,2022-09-13T19:40:53,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-09-14,25,12.3,16.9,25,12.3,16.9,9.8,64.5,0.2,100,8.33,rain,0,0,22.3,24.1,29.2,1015.6,64.6,14.9,259,22.3,10,10,2022-09-14T07:23:51,2022-09-14T19:39:59,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-09-15,24.1,11.1,17.5,24.1,11.1,17.5,10.9,66.7,0.2,100,4.17,rain,0,0,26.3,36.9,4.6,1020.1,83.1,12.8,147.8,12.9,7,10,2022-09-15T07:24:03,2022-09-15T19:39:05,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-09-16,23.1,13.1,17.7,23.1,13.1,17.7,10.9,65.4,0.086,100,8.33,rain,0,0,21.2,25.8,1.8,1019.8,92.8,12.1,140.1,12,7,10,2022-09-16T07:24:14,2022-09-16T19:38:11,0.7,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-09-17,26.1,11,17.8,26.1,11,17.8,12.3,71.5,0.023,100,4.17,rain,0,0,25.2,22.2,325.2,1018.3,88.6,14,164.3,14,9,10,2022-09-17T07:24:26,2022-09-17T19:37:17,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-09-18,26.1,13,17.3,26.1,13,17.3,14.1,82,2.507,100,16.67,rain,0,0,12.6,18.7,333.1,1017.8,98.1,8.6,142.5,12.2,6,10,2022-09-18T07:24:37,2022-09-18T19:36:23,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
